rank_movie,name_movie,year_of_movie,rate_movie
1,The Shawshank Redemption,(1994),9.234860180419755
2,The Godfather,(1972),9.156540513400245
3,The Dark Knight,(2008),8.987797247124773
4,The Godfather Part II,(1974),8.984573933941585
5,12 Angry Men,(1957),8.949608414820531
6,Schindler's List,(1993),8.936725365847924
7,The Lord of the Rings: The Return of the King,(2003),8.924868414459542
8,Pulp Fiction,(1994),8.84939984259533
9,The Lord of the Rings: The Fellowship of the Ring,(2001),8.805965223056397
1,"Il buono, il brutto, il cattivo",(1966),8.79229105750274
11,Forrest Gump,(1994),8.76792319097941
12,Fight Club,(1999),8.749155679328952
13,Inception,(2010),8.733158105953175
14,The Lord of the Rings: The Two Towers,(2002),8.730736515377362
15,The Empire Strikes Back,(1980),8.7010095955874
16,The Matrix,(1999),8.670420163771118
17,Goodfellas,(1990),8.652539989773222
18,One Flew Over the Cuckoo's Nest,(1975),8.640185397682954
19,Se7en,(1995),8.604426631602731
20,Shichinin no samurai,(1954),8.599154598893797
21,It's a Wonderful Life,(1946),8.596719412504196
22,The Silence of the Lambs,(1991),8.588385015971287
23,Cidade de Deus,(2002),8.579128874717588
24,Saving Private Ryan,(1998),8.578774800984391
25,La vita è bella,(1997),8.56661471731566
26,The Green Mile,(1999),8.56117335981307
27,Interstellar,(2014),8.560571321507725
28,Star Wars,(1977),8.552563373991125
29,Terminator 2: Judgment Day,(1991),8.53654372830155
30,Back to the Future,(1985),8.518157361239446
31,Sen to Chihiro no kamikakushi,(2001),8.51544121797033
32,Psycho,(1960),8.508035324231786
33,The Pianist,(2002),8.505536360758608
34,Léon,(1994),8.498181692129778
35,Gisaengchung,(2019),8.496769525554605
36,The Lion King,(1994),8.488462542076446
37,Gladiator,(2000),8.486390447454067
38,American History X,(1998),8.483776114964671
39,The Departed,(2006),8.475691864547816
40,The Usual Suspects,(1995),8.474380726162545
41,The Prestige,(2006),8.468617857274472
42,Casablanca,(1942),8.464173665863878
43,Whiplash,(2014),8.462724919393342
44,The Intouchables,(2011),8.453668803235873
45,Hotaru no haka,(1988),8.450970856937285
46,Seppuku,(1962),8.450911824592737
47,Modern Times,(1936),8.44867120716545
48,Once Upon a Time in the West,(1968),8.446280436761942
49,Rear Window,(1954),8.437173538065565
50,Alien,(1979),8.434992040432913
51,City Lights,(1931),8.434121374251461
52,Nuovo Cinema Paradiso,(1988),8.431265659442797
53,Apocalypse Now,(1979),8.424721295567327
54,Memento,(2000),8.424014082287803
55,Raiders of the Lost Ark,(1981),8.410594469049304
56,Django Unchained,(2012),8.404612011353926
57,WALL·E,(2008),8.393601896061025
58,The Lives of Others,(2006),8.385566186286598
59,Sunset Blvd.,(1950),8.382887196235618
60,Paths of Glory,(1957),8.371699997649621
61,The Shining,(1980),8.366996913929784
62,The Great Dictator,(1940),8.365883393370735
63,Avengers: Infinity War,(2018),8.359204616768245
64,Witness for the Prosecution,(1957),8.35897672540351
65,Top Gun: Maverick,(2022),8.347523511970158
66,Aliens,(1986),8.344491745852606
67,American Beauty,(1999),8.335579229389289
68,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,(1964),8.331904652848218
69,Spider-Man: Into the Spider-Verse,(2018),8.331617768353501
70,The Dark Knight Rises,(2012),8.328020337828345
71,Oldeuboi,(2003),8.320181558117087
72,Joker,(2019),8.317473820308686
73,Amadeus,(1984),8.315758289514292
74,Braveheart,(1995),8.315272693031782
75,Toy Story,(1995),8.315006161830276
76,Coco,(2017),8.313368733215535
77,Inglourious Basterds,(2009),8.313282848231614
78,Das Boot,(1981),8.312607203727282
79,Mononoke-hime,(1997),8.303628040849679
80,Avengers: Endgame,(2019),8.303455673949214
81,Once Upon a Time in America,(1984),8.29771073246958
82,Good Will Hunting,(1997),8.288364993377275
83,Kimi no na wa.,(2016),8.277878994160279
84,Requiem for a Dream,(2000),8.275549245773647
85,Toy Story 3,(2010),8.275295463803507
86,Singin' in the Rain,(1952),8.273618015752456
87,3 Idiots,(2009),8.271520150317256
88,Tengoku to jigoku,(1963),8.266879918528854
89,Star Wars: Episode VI - Return of the Jedi,(1983),8.266831468012793
90,2001: A Space Odyssey,(1968),8.26402029825106
91,Eternal Sunshine of the Spotless Mind,(2004),8.263270916018016
92,Reservoir Dogs,(1992),8.262886043978234
93,Capharnaüm,(2018),8.25978411444345
94,Jagten,(2012),8.255939050137915
95,Lawrence of Arabia,(1962),8.25561499142205
96,Citizen Kane,(1941),8.255411297522741
